Substance,PhysicalHarm,Dependence,SocialHarm
Heroin,2.78,3,2.54
Cocaine,2.33,2.39,2.17
Barbiturates,2.23,2.01,2
Street Methadone,1.865,2.08,1.87
Alcohol ,1.4,1.93,2.21
Ketamine,2,1.54,1.69
Benzodiacepines,1.63,1.83,1.65
Amphetamine,1.81,1.67,1.5
Tobacco,1.24,2.21,1.42
Burenorphine,1.6,1.64,1.49
Cannabis,0.99,1.51,1.5
Solvents,1.28,1.01,1.52
4-MTA,1.44,1.3,1.06
LSD,1.13,1.23,1.32
Methylphenidate,1.32,1.25,0.97
Anabolic steroids,1.45,0.88,1.13
GHB,0.86,1.19,1.3
Ecstasy,1.05,1.13,1.09
Alkyl nitrites ,0.93,0.87,0.97
Khat,0.5,1.04,0.85
